MetaboLightsID	ChEBIId	CompoundName	KEGGPathwaysMappings
MTBLC28202	CHEBI:28202	[hydroxy(phenyl)methyl]succinyl-CoA	Toluene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC28203	CHEBI:28203	N-acetyl-D-phenylalanine	Phenylalanine metabolism
MTBLC28205	CHEBI:28205	phaseic acid	Carotenoid biosynthesis
MTBLC28230	CHEBI:28230	hesperetin	Flavonoid biosynthesis
MTBLC28239	CHEBI:28239	erythromycin E	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC28245	CHEBI:28245	(S)-2-amino-6-oxopimelic acid	Lysine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids
MTBLC28247	CHEBI:28247	11beta-hydroxyprogesterone	Steroid hormone biosynthesis
MTBLC28262	CHEBI:28262	dimethyl sulfoxide	Sulfur metabolism
MTBLC28269	CHEBI:28269	6-oxo-prostaglandin E1	Arachidonic acid metabolism; Metabolic pathways
MTBLC28292	CHEBI:28292	gentamycin C2	Biosynthesis of antibiotics
MTBLC28297	CHEBI:28297	hydantoin-5-propionic acid	Histidine metabolism
MTBLC28299	CHEBI:28299	quercetin 3-O-beta-D-glucofuranoside	Flavone and flavonol biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC28309	CHEBI:28309	xylobiose	ABC transporters
MTBLC28310	CHEBI:28310	1D-3-O-methyl-myo-inositol	Inositol phosphate metabolism
MTBLC28322	CHEBI:28322	(+)-coniine	Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from terpenoid and polyketide
MTBLC28323	CHEBI:28323	3,4-dihydroxycinnamaldehyde	Phenylpropanoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC28327	CHEBI:28327	naringenin 7-O-beta-D-glucoside	Flavonoid biosynthesis
MTBLC28330	CHEBI:28330	4-hydroxy-L-threonine	Vitamin B6 metabolism
MTBLC28331	CHEBI:28331	erythromycin D	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC28334	CHEBI:28334	malonamoyl-CoA	Tetracycline biosynthesis; Biosynthesis of type II polyketide backbone; Biosynthesis of antibiotics
MTBLC28339	CHEBI:28339	lactose 6'-phosphate	Galactose metabolism; Metabolic pathways; Phosphotransferase system (PTS)
MTBLC28340	CHEBI:28340	L-2-aminobutyrate	Cysteine and methionine metabolism; Metabolic pathways
MTBLC28343	CHEBI:28343	3-O-alpha-mycarosylerythronolide B	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC28346	CHEBI:28346	mescaline	Biosynthesis of alkaloids derived from shikimate pathway
MTBLC28353	CHEBI:28353	4-hydroxycinnamaldehyde	Phenylpropanoid biosynthesis; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC28368	CHEBI:28368	novobiocin	Novobiocin biosynthesis; Biosynthesis of antibiotics
MTBLC28374	CHEBI:28374	solanidine	Biosynthesis of alkaloids derived from terpenoid and polyketide
MTBLC28376	CHEBI:28376	6-acetamido-2-oxohexanoic acid	Lysine degradation
MTBLC28386	CHEBI:28386	4-hydroxycinnamyl alcohol	Phenylpropanoid biosynthesis; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC28391	CHEBI:28391	S(8)-glutaryldihydrolipoamide	Lysine degradation; Metabolic pathways; Biosynthesis of antibiotics
MTBLC28396	CHEBI:28396	3-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-1,2-diacyl-sn-glycerol	Glycerolipid metabolism; Metabolic pathways
MTBLC28410	CHEBI:28410	2,2-bis(4-chlorophenyl)ethanol	DDT degradation; Microbial metabolism in diverse environments
MTBLC28411	CHEBI:28411	allicin	Inflammatory mediator regulation of TRP channels
MTBLC28418	CHEBI:28418	gentamycin A	Biosynthesis of antibiotics
MTBLC28429	CHEBI:28429	(+)-dihydromyricetin	Flavonoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC28443	CHEBI:28443	cyclohexa-1,4-diene-1-carbonyl-CoA	Benzoate degradation; Microbial metabolism in diverse environments
MTBLC28445	CHEBI:28445	vincristine	Indole alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC28456	CHEBI:28456	L-threo-3-methylmalic acid	C5-Branched dibasic acid metabolism
MTBLC28462	CHEBI:28462	ajmaline	Indole alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC28476	CHEBI:28476	m-tolualdehyde	Xylene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC28484	CHEBI:28484	isovaleric acid	Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of secondary metabolites; Protein digestion and absorption
MTBLC28508	CHEBI:28508	2,5-dihydroxybenzaldehyde	Tyrosine metabolism; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC28516	CHEBI:28516	1,2-dihydronaphthalene-1,2-diol	Metabolism of xenobiotics by cytochrome P450
MTBLC28517	CHEBI:28517	biphenyl-2,2',3-triol	Dioxin degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC28522	CHEBI:28522	4-hydroxybutyryl-CoA	Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
MTBLC28526	CHEBI:28526	(KDO)2-lipid IVA	Lipopolysaccharide biosynthesis; Metabolic pathways
MTBLC28527	CHEBI:28527	rutin	Flavone and flavonol biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC28531	CHEBI:28531	cob(I)yrinic acid a,c diamide	Porphyrin and chlorophyll metabolism; Metabolic pathways
MTBLC28534	CHEBI:28534	1,2-dibromoethane	Metabolism of xenobiotics by cytochrome P450
MTBLC28557	CHEBI:28557	cyclohexane-1-carbonyl-CoA	Benzoate degradation; Microbial metabolism in diverse environments
MTBLC28578	CHEBI:28578	2-hydroxyglutaryl-CoA	Butanoate metabolism
MTBLC28579	CHEBI:28579	epsilon-caprolactam	Caprolactam degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC28580	CHEBI:28580	3-mercaptolactic acid	Cysteine and methionine metabolism
MTBLC28582	CHEBI:28582	cupreine	Sulfonamide derivatives - sulfa drugs
MTBLC28594	CHEBI:28594	(S)-nororientaline	Isoquinoline alkaloid biosynthesis
MTBLC28595	CHEBI:28595	4-hydroxyphenylacetylglycine	Tyrosine metabolism
MTBLC28599	CHEBI:28599	siroheme	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC28600	CHEBI:28600	farnesol	Insect hormone biosynthesis
MTBLC28611	CHEBI:28611	(S)-norreticuline	Isoquinoline alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC28617	CHEBI:28617	p-tolualdehyde	Xylene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC28651	CHEBI:28651	(S)-norlaudanosoline	Isoquinoline alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC28658	CHEBI:28658	(R)-norreticuline	Isoquinoline alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC28663	CHEBI:28663	galactitol 1-phosphate	Galactose metabolism; Metabolic pathways; Phosphotransferase system (PTS)
MTBLC28673	CHEBI:28673	3-oxopropanoyl-CoA	Propanoate metabolism; Metabolic pathways
MTBLC28681	CHEBI:28681	N,N'-diacetylchitobiose	Amino sugar and nucleotide sugar metabolism; Metabolic pathways; ABC transporters
MTBLC28700	CHEBI:28700	20-hydroxy-leukotriene E4	Arachidonic acid metabolism
MTBLC28711	CHEBI:28711	2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
MTBLC28723	CHEBI:28723	D-glycero-D-manno-heptose 7-phosphate	Lipopolysaccharide biosynthesis; Metabolic pathways
MTBLC28736	CHEBI:28736	formyl-5-hydroxykynurenamine	Tryptophan metabolism
MTBLC28748	CHEBI:28748	doxorubicin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC28751	CHEBI:28751	biochanin A 7-O-beta-D-glucoside	Isoflavonoid biosynthesis
MTBLC28752	CHEBI:28752	3,4-dihydroxyfluorene	Polycyclic aromatic hydrocarbon degradation; Microbial metabolism in diverse environments
MTBLC28753	CHEBI:28753	2-hexaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
MTBLC28773	CHEBI:28773	4-hydroxyphenylacetyl-CoA	Tyrosine metabolism
MTBLC28792	CHEBI:28792	erucic acid	Biosynthesis of unsaturated fatty acids
MTBLC2880	CHEBI:2880	asperlicin	Benzodiazepine family
MTBLC2881	CHEBI:2881	asperuloside	Monoterpenoid biosynthesis
MTBLC28813	CHEBI:28813	sinapyl alcohol	Phenylpropanoid biosynthesis; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC28814	CHEBI:28814	piceatannol	Stilbenoid, diarylheptanoid and gingerol biosynthesis; Biosynthesis of secondary metabolites
MTBLC28818	CHEBI:28818	(24R)-24,25-dihydroxycalciol	Steroid biosynthesis; Metabolic pathways
MTBLC28819	CHEBI:28819	naringin	Flavonoid biosynthesis
MTBLC28821	CHEBI:28821	piperine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
MTBLC28827	CHEBI:28827	sparteine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of secondary metabolites
MTBLC28832	CHEBI:28832	androsterone 3-glucosiduronic acid	Steroid hormone biosynthesis
MTBLC28835	CHEBI:28835	testosterone 17-glucosiduronic acid	Steroid hormone biosynthesis
MTBLC28851	CHEBI:28851	phenanthrene	Polycyclic aromatic hydrocarbon degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC28855	CHEBI:28855	enterobactin	Biosynthesis of siderophore group nonribosomal peptides; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
MTBLC28857	CHEBI:28857	(Z)-hex-3-en-1-ol	alpha-Linolenic acid metabolism; Biosynthesis of secondary metabolites
MTBLC28861	CHEBI:28861	gibberellin A8	Diterpenoid biosynthesis
MTBLC28864	CHEBI:28864	tobramycin	Biosynthesis of antibiotics
MTBLC28870	CHEBI:28870	1-O-all-trans-retinoyl-beta-glucuronic acid	Retinol metabolism
MTBLC28873	CHEBI:28873	cis-2-coumaric acid	Phenylpropanoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC28882	CHEBI:28882	2-benzoylsuccinyl-CoA	Toluene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC28888	CHEBI:28888	trichloroepoxyethane	Chloroalkane and chloroalkene degradation; Metabolism of xenobiotics by cytochrome P450; Microbial metabolism in diverse environments; Chemical carcinogenesis
MTBLC28915	CHEBI:28915	fosfomycin	Phosphonate and phosphinate metabolism; Biosynthesis of antibiotics
MTBLC28941	CHEBI:28941	behenic acid	Cutin, suberine and wax biosynthesis; Biosynthesis of unsaturated fatty acids
MTBLC28943	CHEBI:28943	N-acylsphingosine 1-phosphoethanolamine	Sphingolipid metabolism
MTBLC28946	CHEBI:28946	theobromine	Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine and purine; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
MTBLC28947	CHEBI:28947	(5-oxo-2-sulfo-2,5-dihydrofuran-2-yl)acetic acid	Aminobenzoate degradation; Microbial metabolism in diverse environments
MTBLC28952	CHEBI:28952	5alpha-pregnane-3,20-dione	Steroid hormone biosynthesis
MTBLC28956	CHEBI:28956	cobinamide	Porphyrin and chlorophyll metabolism
MTBLC28959	CHEBI:28959	1,1-dichloro-2-(4-chloro-2,3-dihydroxyphenyl)-2-(4-chlorophenyl)ethylene	DDT degradation; Microbial metabolism in diverse environments
MTBLC28960	CHEBI:28960	trans-3-chloroprop-2-en-1-ol	Chloroalkane and chloroalkene degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC28967	CHEBI:28967	cis-3-chloroprop-2-en-1-ol	Chloroalkane and chloroalkene degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC28981	CHEBI:28981	gentianine	Biosynthesis of alkaloids derived from terpenoid and polyketide
MTBLC28986	CHEBI:28986	anabasine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of secondary metabolites
MTBLC28987	CHEBI:28987	abietic acid	Diterpenoid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC28996	CHEBI:28996	pinocarvone	Limonene and pinene degradation
MTBLC29000	CHEBI:29000	(2E,4E)-3,8,8,8-tetrachloro-7-(4-chlorophenyl)-2-hydroxy-6-oxo-octa-2,4-dienoate	DDT degradation; Microbial metabolism in diverse environments
MTBLC29004	CHEBI:29004	(3R)-3-isopropenyl-6-oxoheptanoyl-CoA	Limonene and pinene degradation; Degradation of aromatic compounds
MTBLC29010	CHEBI:29010	2'-aminobiphenyl-2,3-diol	Dioxin degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC29020	CHEBI:29020	neral	Geraniol degradation; Biosynthesis of terpenoids and steroids; Biosynthesis of secondary metabolites
MTBLC29026	CHEBI:29026	urobilinogen	Porphyrin and chlorophyll metabolism
MTBLC29045	CHEBI:29045	maleamic acid	Nicotinate and nicotinamide metabolism; Microbial metabolism in diverse environments
MTBLC29060	CHEBI:29060	alpha-pinene oxide	Limonene and pinene degradation
MTBLC29069	CHEBI:29069	phthalic acid	Polycyclic aromatic hydrocarbon degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds; ABC transporters
MTBLC2909	CHEBI:2909	atisine	Biosynthesis of alkaloids derived from terpenoid and polyketide
MTBLC29091	CHEBI:29091	nocardicin E	Monobactam biosynthesis; Biosynthesis of antibiotics
MTBLC29107	CHEBI:29107	24-methylidenelophenol	Steroid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC29123	CHEBI:29123	2-acetamido-5-oxopentanoate	Arginine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
MTBLC2942	CHEBI:2942	azadirachtin A	Biosynthesis of terpenoids and steroids
MTBLC29452	CHEBI:29452	nerol	Geraniol degradation; Biosynthesis of terpenoids and steroids
MTBLC29457	CHEBI:29457	(5Z,7E,9E,14Z,17Z)-icosapentaenoic acid	Inflammatory mediator regulation of TRP channels
MTBLC29461	CHEBI:29461	10-deoxymethynolide	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29467	CHEBI:29467	2,3-didehydro-gibberellin A9	Diterpenoid biosynthesis
MTBLC29473	CHEBI:29473	2-hydroxy-4-isopropenylcyclohexane-1-carbonyl-CoA	Limonene and pinene degradation; Degradation of aromatic compounds
MTBLC29474	CHEBI:29474	(S)-3,5-dihydroxyphenylglycine	Biosynthesis of vancomycin group antibiotics; Biosynthesis of antibiotics
MTBLC29489	CHEBI:29489	4-isopropenyl-2-oxocyclohexane-1-carbonyl-CoA	Limonene and pinene degradation; Degradation of aromatic compounds
MTBLC29491	CHEBI:29491	5-O-beta-D-mycaminosyltylactone	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29514	CHEBI:29514	5-amino-5-deoxy-3-dehydroshikimic acid	Biosynthesis of ansamycins; Biosynthesis of antibiotics
MTBLC29515	CHEBI:29515	ansamitocin P3	Biosynthesis of ansamycins; Type I polyketide structures; Biosynthesis of antibiotics
MTBLC29534	CHEBI:29534	avermectin B1a	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29537	CHEBI:29537	avermectin B1b	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29556	CHEBI:29556	chloroeremomycin	Biosynthesis of vancomycin group antibiotics; Biosynthesis of antibiotics
MTBLC29560	CHEBI:29560	cyanidin 3-O-(6-O-(E)-4-coumaroyl-beta-D-glucoside)	Anthocyanin biosynthesis
MTBLC29572	CHEBI:29572	demethyllactenocin	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29582	CHEBI:29582	ascomycin	Type I polyketide structures
MTBLC29598	CHEBI:29598	gibberellin A5	Diterpenoid biosynthesis
MTBLC29600	CHEBI:29600	gibberellin A51-catabolite	Diterpenoid biosynthesis
MTBLC29604	CHEBI:29604	gibberellin A8-catabolite	Diterpenoid biosynthesis
MTBLC29608	CHEBI:29608	isoformononetin	Isoflavonoid biosynthesis; Biosynthesis of phenylpropanoids
MTBLC29613	CHEBI:29613	3-O-(alpha-L-oleandrosyl)oleandolide	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29614	CHEBI:29614	3-O-(alpha-L-olivosyl)oleandolide	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29630	CHEBI:29630	methymycin	Biosynthesis of 12-, 14- and 16-membered macrolides; Type I polyketide structures; Biosynthesis of antibiotics
MTBLC29649	CHEBI:29649	narbomycin	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29650	CHEBI:29650	narbonolide	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29656	CHEBI:29656	neomethymycin	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29658	CHEBI:29658	oleandolide	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29665	CHEBI:29665	pikromycin	Biosynthesis of 12-, 14- and 16-membered macrolides; Type I polyketide structures; Biosynthesis of antibiotics
MTBLC29669	CHEBI:29669	pyochelin	Biosynthesis of siderophore group nonribosomal peptides; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
MTBLC29673	CHEBI:29673	rifamycin SV	Biosynthesis of ansamycins; Biosynthesis of antibiotics
MTBLC34230	CHEBI:34230	2,3-dinor-8-epi-prostaglandin F2alpha	Arachidonic acid metabolism
MTBLC34237	CHEBI:34237	2,4-diaminotoluene	Nitrotoluene degradation; Microbial metabolism in diverse environments
MTBLC3424	CHEBI:3424	carnitinium	Lysine degradation; ABC transporters
MTBLC34300	CHEBI:34300	2-naphthoyl-CoA	Naphthalene degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC34311	CHEBI:34311	27-O-demethylrifamycin SV	Biosynthesis of ansamycins; Biosynthesis of antibiotics
MTBLC34484	CHEBI:34484	8(R)-HETE	Arachidonic acid metabolism
MTBLC34485	CHEBI:34485	8(R)-HPODE	Linoleic acid metabolism
MTBLC34486	CHEBI:34486	8(S)-HETE	Arachidonic acid metabolism; Metabolic pathways; PPAR signaling pathway
MTBLC34487	CHEBI:34487	8(S)-HPETE	Arachidonic acid metabolism; Metabolic pathways; Serotonergic synapse
MTBLC34495	CHEBI:34495	9(S)-HETE	Arachidonic acid metabolism
MTBLC34497	CHEBI:34497	9(S)-HPETE	Arachidonic acid metabolism; Serotonergic synapse
MTBLC34498	CHEBI:34498	9(S)-HPODE	Linoleic acid metabolism; Metabolic pathways
MTBLC34499	CHEBI:34499	9,10,13-TriHOME	Linoleic acid metabolism
MTBLC34500	CHEBI:34500	9,10-12,13-Diepoxyoctadecanoate	Linoleic acid metabolism
MTBLC34503	CHEBI:34503	9,10-Dihydroxy-12,13-epoxyoctadecanoate	Linoleic acid metabolism
MTBLC34506	CHEBI:34506	pinellic acid	Linoleic acid metabolism
MTBLC3469	CHEBI:3469	Catharanthine	Indole alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC3472	CHEBI:3472	Cathenamine	Indole alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC34768	CHEBI:34768	furfural	Furfural degradation; Microbial metabolism in diverse environments
MTBLC34778	CHEBI:34778	glycitein	Isoflavonoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC34848	CHEBI:34848	mevastatin	HMG-CoA reductase inhibitors
MTBLC35291	CHEBI:35291	all-trans-retinoate	Retinol metabolism; Metabolic pathways; Intestinal immune network for IgA production; Pathways in cancer; Small cell lung cancer; Non-small cell lung cancer
MTBLC3530	CHEBI:3530	Celosianin II	Betalain biosynthesis
MTBLC35305	CHEBI:35305	9-cis-violaxanthin	Carotenoid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC35328	CHEBI:35328	spirilloxanthin	Carotenoid biosynthesis; Metabolic pathways
MTBLC35331	CHEBI:35331	rhodopin	Carotenoid biosynthesis; Metabolic pathways
MTBLC3537	CHEBI:3537	cefaloridine	Bile secretion
MTBLC35596	CHEBI:35596	(+)-pulegone	Monoterpenoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC35616	CHEBI:35616	trans-anethole	Phenylpropanoid biosynthesis
MTBLC35672	CHEBI:35672	(4R)-limonene 1,2-epoxide	Limonene and pinene degradation
MTBLC35862	CHEBI:35862	bacitracin A	Nonribosomal peptide structures
MTBLC35940	CHEBI:35940	protirelin	Neuroactive ligand-receptor interaction
MTBLC36011	CHEBI:36011	pinosylvin	Stilbenoid, diarylheptanoid and gingerol biosynthesis; Biosynthesis of secondary metabolites
MTBLC36028	CHEBI:36028	4,4'-dihydroxy-alpha-methylstilbene	Bisphenol degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC36106	CHEBI:36106	2-naphthoic acid	Naphthalene degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC36108	CHEBI:36108	1-hydroxy-2-naphthoic acid	Polycyclic aromatic hydrocarbon degradation; Naphthalene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC36163	CHEBI:36163	ferroheme a	Porphyrin and chlorophyll metabolism; Biosynthesis of secondary metabolites
MTBLC36203	CHEBI:36203	trioxilin A3	Arachidonic acid metabolism
MTBLC36241	CHEBI:36241	3,4-dihydroxybenzoate	Benzoate degradation; Phenylalanine, tyrosine and tryptophan biosynthesis; Toluene degradation; Polycyclic aromatic hydrocarbon degradation; Aminobenzoate degradation; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of antibiotics; Degradation of aromatic compounds
MTBLC36386	CHEBI:36386	dichloroacetic acid	Chloroalkane and chloroalkene degradation; Metabolism of xenobiotics by cytochrome P450; Microbial metabolism in diverse environments; Chemical carcinogenesis
MTBLC36407	CHEBI:36407	5-hydroxy-N-formyl-L-kynurenine	Tryptophan metabolism
MTBLC36408	CHEBI:36408	5-hydroxy-L-kynurenine	Tryptophan metabolism
MTBLC36466	CHEBI:36466	1-naphthoic acid	Naphthalene degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC36484	CHEBI:36484	hopan-22-ol	Sesquiterpenoid and triterpenoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC36491	CHEBI:36491	2-methoxy-17beta-estradiol 3-glucosiduronic acid	Steroid hormone biosynthesis
MTBLC36492	CHEBI:36492	(+)-isomenthone	Monoterpenoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC36557	CHEBI:36557	N-methylanthranilate	Acridone alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of secondary metabolites
MTBLC36575	CHEBI:36575	N-formylanthranilic acid	Tryptophan metabolism
MTBLC36632	CHEBI:36632	o-toluic acid	Xylene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC36659	CHEBI:36659	3-(4-hydroxyphenyl)lactate	Ubiquinone and other terpenoid-quinone biosynthesis; Tyrosine metabolism; Biosynthesis of secondary metabolites
MTBLC36740	CHEBI:36740	alpha-pinene	Limonene and pinene degradation; Biosynthesis of secondary metabolites
MTBLC368	CHEBI:368	(S)-(-)-citronellal	Geraniol degradation
MTBLC36882	CHEBI:36882	(3S)-citramalyl-CoA	C5-Branched dibasic acid metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
MTBLC36926	CHEBI:36926	but-2-enoyl-CoA	Fatty acid degradation; Lysine degradation; Benzoate degradation; Tryptophan metabolism; Aminobenzoate degradation; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of antibiotics; Carbon metabolism; Fatty acid metabolism
MTBLC36999	CHEBI:36999	perillic acid	Limonene and pinene degradation
MTBLC37002	CHEBI:37002	perillyl-coenzyme A	Limonene and pinene degradation; Degradation of aromatic compounds
MTBLC37023	CHEBI:37023	L-2-aminoadipic acid	Lysine biosynthesis; Lysine degradation; Penicillin and cephalosporin biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
MTBLC3703	CHEBI:3703	cinchonidine	Biosynthesis of alkaloids derived from shikimate pathway
MTBLC37070	CHEBI:37070	2-methylbutyric acid	Protein digestion and absorption
MTBLC37425	CHEBI:37425	L-galactonic acid	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Metabolic pathways
MTBLC37439	CHEBI:37439	3-isopropenylpimeloyl-CoA	Limonene and pinene degradation; Degradation of aromatic compounds
MTBLC37450	CHEBI:37450	2-methoxyestrone 3-glucosiduronic acid	Steroid hormone biosynthesis
MTBLC37451	CHEBI:37451	3alpha-hydroxy-5beta-androstan-17-one 3-glucosiduronic acid	Steroid hormone biosynthesis
MTBLC37525	CHEBI:37525	O-phospho-L-threonine	Porphyrin and chlorophyll metabolism
MTBLC37548	CHEBI:37548	phenyl phosphate	Aminobenzoate degradation; Microbial metabolism in diverse environments
MTBLC37923	CHEBI:37923	astromicin	Biosynthesis of antibiotics
MTBLC37943	CHEBI:37943	colistin	ABC transporters; Two-component system
MTBLC38137	CHEBI:38137	(1-naphthyl)methanol	Naphthalene degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC38266	CHEBI:38266	O-beta-D-glucosyl-trans-zeatin	Zeatin biosynthesis; Biosynthesis of secondary metabolites
MTBLC3830	CHEBI:3830	camphene	Monoterpenoid biosynthesis; Biosynthesis of terpenoids and steroids; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC48400	CHEBI:48400	3-(3,4-dihydroxyphenyl)propanoic acid	Tyrosine metabolism
MTBLC48427	CHEBI:48427	N-formimidoyl-L-aspartic acid	Histidine metabolism
MTBLC48649	CHEBI:48649	L-sorbopyranose	Fructose and mannose metabolism
MTBLC48701	CHEBI:48701	7alpha,24-dihydroxycholest-4-en-3-one	Primary bile acid biosynthesis
MTBLC48723	CHEBI:48723	(-)-lobeline	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of secondary metabolites
